geometry,reach,gravity_logistic,gravity_exponential,knn_logistic
POINT (546.7200852537802 2648.6651351901564),393,89.14582873821217,190.73604720899442,2.5289866205108535
POINT (1024.248471991398 2361.7562755456343),504,111.91172043761215,242.49282123484016,3.466668597305252
POINT (3851.8341332416794 3955.5425563369113),348,90.11608311988334,173.9123722440879,2.4903372771234804
POINT (966.6804383161473 2532.6154083532147),491,104.24895082683176,233.9109144025914,3.25864180061965
POINT (2892.146615744853 4071.801544822156),340,81.97398642110745,166.37116623583455,4.518101866275687
POINT (2457.3781397573302 2037.7861860211826),445,87.10687728336065,207.03919966576314,2.5589056368346026
POINT (2460.1675518915717 318.4505372925925),315,78.74931061567884,155.87536422275184,3.7009870804750755
POINT (3199.5797694111675 0.454256445651281),223,46.07604789604084,105.26603097214974,1.8861689061923137
POINT (735.2950254350368 2197.7272034021635),466,118.35437419781947,231.4550058404564,3.9547146069561614
POINT (2143.4486061390508 1117.9931559921856),427,81.45211580904825,197.7106532018898,3.7401621079008494
POINT (3687.413013617087 864.2611147651453),459,86.83570208335999,213.03259846799367,3.2064309525467323
POINT (3463.7216472647647 16.9198088448781),231,40.98631646844189,105.96226381460791,3.7052433356686065
POINT (4606.248675919984 2802.6524949805944),336,83.19227988320102,163.34645505710643,1.8473462777707084
POINT (4787.624006036641 1013.7124228212305),324,68.76937548624096,154.89016719841507,3.4725688481087325
POINT (1980.1634654147952 41.45802226732506),229,53.04827866853334,109.7435025720977,3.122388277840411
POINT (2751.2020931581956 2653.9412783935245),475,87.85178970304553,218.4618860687422,4.803399366432476
POINT (3324.6268117452246 1044.7318043946536),458,87.99074863801863,212.94329855729987,3.0366297016226897
POINT (3464.976039308126 1507.537096834764),484,92.58322473506367,224.45938871545485,3.492462121866932
POINT (4758.233533016044 2972.305110346902),293,78.67426377219975,145.02633501480736,2.5057463756959235
POINT (604.5362374870344 3770.962334400832),309,74.18797565796879,153.30762136282567,3.626176400506968
POINT (1027.8744062435526 4067.847203685431),277,63.41136902736668,134.15964685925076,1.923603061969256
POINT (2786.6011962300486 51.32875692354423),252,53.911586595771624,119.85203762559378,2.0023685566114495
POINT (1344.9983442762575 411.0647019789554),345,71.95665035013533,162.24120570862092,2.5105243430552764
POINT (3961.913856484292 1164.799639032557),480,105.96420317106652,229.3703159128792,2.673763982600968
POINT (933.8291576402289 1132.9200452380467),501,113.92535744046484,241.89230303676112,3.8829780774949647
POINT (3851.136773454884 1224.977072980286),465,100.44401616763459,220.92439808696656,2.4592725623731315
POINT (4859.571973366817 1924.6416680328048),286,56.687311143985504,133.8210559642665,3.109678691901569
POINT (3740.3165048150972 810.85676185513),447,86.98393403046556,209.38531832922646,3.097571837220114
POINT (3163.1227780819763 3960.0402905090846),351,84.15226936260883,172.44393226226316,3.5006057418762264
POINT (450.0299169261287 2817.120472160562),383,76.98516362256554,180.0470577303714,3.3755049480726234
POINT (4806.043640168554 440.1216522550811),228,67.46222716170384,117.16986908021917,3.3770071637737997
POINT (1539.91252892657 1326.716382218307),477,81.88648694306812,217.70830092995504,3.0646680470657324
POINT (3106.6605851213976 2996.064639253412),448,82.7017320558966,206.2944798202478,3.1389207570436404
POINT (3270.3076298113147 2306.393919106714),467,92.00153334130337,217.17492135279983,3.7127221731552287
POINT (3024.085426133098 3658.278687025052),427,92.96707446786755,203.4621979345667,2.2977569578859245
POINT (2181.796020162055 3794.729059984905),402,104.39328770674139,199.54685658044198,2.7071957434550273
POINT (92.08570834391588 3192.674772932103),242,63.51889178367943,121.14823310048988,2.7438118534518954
POINT (4489.254838800611 496.92973206037357),304,85.05269369376138,155.77148786726588,4.319828462613221
POINT (3312.8207352759314 1266.3514216230117),469,87.19186265697594,217.82022925423996,2.1920292332448366
POINT (31.915013656798287 934.8882023730464),251,58.74976953214317,123.13538868678216,3.6583087966565593
POINT (837.651387370591 3632.8661485617954),374,77.15400611946764,177.396030790407,3.455598258752034
POINT (3300.1673653515377 2285.19166712842),456,90.91430132437527,213.28641341854907,2.7670820592516843
POINT (4731.080024648882 2839.0632113396796),286,77.95564002236637,142.73379379004547,2.490838695981147
POINT (4599.125856212017 4067.561339684945),249,62.724241924141886,124.37110974607315,3.648645943738358
POINT (2051.054185220724 2035.3720157219102),457,88.74696518255662,214.31074688941578,2.7594924171709865
POINT (3575.553727341765 3069.6102707875457),465,92.6414900229707,215.52201315629105,3.2572523613976356
POINT (3825.7349685904724 53.867104107037456),232,52.2932935940738,111.41451712005404,2.9592070918856956
POINT (3134.1012837028034 2344.9911771864236),449,88.76730811260957,209.87961853304887,3.9218170535362353
POINT (635.2601837601994 1650.497453290141),462,106.25560756500956,222.9744322974849,2.8964160609900897
POINT (4855.985128728964 2862.813236234286),250,66.86528028574585,123.94697591498297,2.11625914314959
